"","full_name","month","anom.abs"
"404","Ohio",8,1.00484707354245
"405","Ohio",9,0.882981393245019
"406","Ohio",10,1.0707678999112
"407","Ohio",11,1.53498151900569
"408","Ohio",12,2.12118208139007
"409","Oklahoma",1,1.58117471968325
"410","Oklahoma",2,2.01356598572028
"411","Oklahoma",3,1.60174815471593
"412","Oklahoma",4,1.41695844473071
"413","Oklahoma",5,1.08914184428775
"414","Oklahoma",6,1.30444131466982
"415","Oklahoma",7,1.12820999349754
"416","Oklahoma",8,1.35093684562133
"417","Oklahoma",9,1.29624371114122
"418","Oklahoma",10,0.954958080803088
"419","Oklahoma",11,1.55764739387186
"420","Oklahoma",12,1.7436345772985
"421","Oregon",1,1.20015093403693
"422","Oregon",2,1.0738612579367
"423","Oregon",3,1.01226675028082
"424","Oregon",4,1.00827659841714
"425","Oregon",5,1.08507050091359
"426","Oregon",6,1.18211742840715
"427","Oregon",7,1.32915839391489
"428","Oregon",8,0.939153893296279
"429","Oregon",9,1.04846737134047
"430","Oregon",10,0.937032012555825
"431","Oregon",11,1.17513742123017
"432","Oregon",12,1.17349343483667
"433","Pennsylvania",1,2.08905111739652
"434","Pennsylvania",2,1.78067032737027
"435","Pennsylvania",3,1.59075744638209
"436","Pennsylvania",4,0.924814082846942
"437","Pennsylvania",5,1.33752698132316
"438","Pennsylvania",6,0.850630903811302
"439","Pennsylvania",7,1.0244372955045
"440","Pennsylvania",8,1.01224013178616
"441","Pennsylvania",9,0.861824416461543
"442","Pennsylvania",10,1.02719527388413
"443","Pennsylvania",11,1.39659280017874
"444","Pennsylvania",12,2.0119535643462
"445","Rhode Island",1,1.91723248712716
"446","Rhode Island",2,1.54381305225817
"447","Rhode Island",3,1.19476247678287
"448","Rhode Island",4,0.851313590072855
"449","Rhode Island",5,0.910585152108052
"450","Rhode Island",6,0.776923002758181
"451","Rhode Island",7,0.918212099520525
"452","Rhode Island",8,0.822758411539268
"453","Rhode Island",9,0.818772017777899
"454","Rhode Island",10,0.858310813689851
"455","Rhode Island",11,1.10880950020232
"456","Rhode Island",12,1.80190563318552
"457","South Carolina",1,1.6524617718527
"458","South Carolina",2,1.29411846559747
"459","South Carolina",3,1.40994291162031
"460","South Carolina",4,1.05510054865683
"461","South Carolina",5,0.88850365260066
"462","South Carolina",6,0.864640340945832
"463","South Carolina",7,0.760115327704147
"464","South Carolina",8,0.78644481818698
"465","South Carolina",9,0.755501477589657
"466","South Carolina",10,1.06109639878975
"467","South Carolina",11,1.36556272234941
"468","South Carolina",12,2.04584735021234
"469","South Dakota",1,2.622529475351
"470","South Dakota",2,3.00794035846985
"471","South Dakota",3,2.31556970324485
"472","South Dakota",4,1.64676373806945
"473","South Dakota",5,1.30800715429024
"474","South Dakota",6,1.29928598274768
"475","South Dakota",7,1.26620492472553
"476","South Dakota",8,1.08929465167462
"477","South Dakota",9,1.1889811910385
"478","South Dakota",10,1.18040296798285
"479","South Dakota",11,2.28268224427
"480","South Dakota",12,2.81068339774074
"481","Tennessee",1,1.87484736016685
"482","Tennessee",2,1.59625554980055
"483","Tennessee",3,1.57265632811958
"484","Tennessee",4,1.33321753329813
"485","Tennessee",5,1.12209505263452
"486","Tennessee",6,0.902466505277364
"487","Tennessee",7,0.770114568665321
"488","Tennessee",8,1.02152035673094
"489","Tennessee",9,0.964794726138446
"490","Tennessee",10,1.08153492978201
"491","Tennessee",11,1.52710923077938
"492","Tennessee",12,1.99685980376913
"493","Texas",1,1.46089200844068
"494","Texas",2,1.51708478400848
"495","Texas",3,1.27988124602759
"496","Texas",4,1.06630962021297
"497","Texas",5,0.829454229243506
"498","Texas",6,0.908902662506754
"499","Texas",7,0.723826377805461
"500","Texas",8,0.848597838828434
"501","Texas",9,0.895995228993257
"502","Texas",10,0.738424212802246
"503","Texas",11,1.36671981970439
"504","Texas",12,1.40819493874599
"505","Utah",1,1.82482745753333
"506","Utah",2,1.58783736295565
"507","Utah",3,1.23386585816561
"508","Utah",4,1.41921871506799
"509","Utah",5,1.22844547502439
"510","Utah",6,1.38597842555913
"511","Utah",7,1.2632374756293
"512","Utah",8,0.814499606823459
"513","Utah",9,0.98358925014565
"514","Utah",10,1.23732991354645
"515","Utah",11,1.44357706079529
"516","Utah",12,1.34026685318295
"517","Vermont",1,2.22047327728167
"518","Vermont",2,1.89344528327055
"519","Vermont",3,1.54739104597993
"520","Vermont",4,1.00470557012504
"521","Vermont",5,1.21307060844925
"522","Vermont",6,0.832778883024299
"523","Vermont",7,0.77842982452521
"524","Vermont",8,0.837744716008778
"525","Vermont",9,0.9781921745042
"526","Vermont",10,1.02078559199905
"527","Vermont",11,1.15183999429757
"528","Vermont",12,2.06429411080325
"529","Virginia",1,1.85628673855319
"530","Virginia",2,1.50057735450984
"531","Virginia",3,1.36805109687204
"532","Virginia",4,0.919502754872111
"533","Virginia",5,1.1020165572389
"534","Virginia",6,0.815932535464924
"535","Virginia",7,0.818708627198349
"536","Virginia",8,0.928703709492734
"537","Virginia",9,0.791687414713782
"538","Virginia",10,0.993300986620636
"539","Virginia",11,1.30011085639287
"540","Virginia",12,1.94879870155657
"541","Washington",1,1.32360057979342
"542","Washington",2,1.32681573302614
"543","Washington",3,1.06286198940216
"544","Washington",4,0.956085348303951
"545","Washington",5,1.06669896766905
"546","Washington",6,1.19042510251554
"547","Washington",7,1.24908617939194
"548","Washington",8,0.849408477136423
"549","Washington",9,1.09326796193529
"550","Washington",10,0.918130275907908
"551","Washington",11,1.25760907608418
"552","Washington",12,1.40244553899468
"553","West Virginia",1,2.07951332606022
"554","West Virginia",2,1.6971343638694
"555","West Virginia",3,1.61316890804248
"556","West Virginia",4,1.14491976243103
"557","West Virginia",5,1.43139258288383
"558","West Virginia",6,0.842102545980951
"559","West Virginia",7,0.916365603320271
"560","West Virginia",8,0.99847441415609
"561","West Virginia",9,0.817610359429969
"562","West Virginia",10,1.05255558390867
"563","West Virginia",11,1.52942656927261
"564","West Virginia",12,2.11751720265313
"565","Wisconsin",1,2.1856851689196
"566","Wisconsin",2,2.43744091210846
"567","Wisconsin",3,1.69249097937598
"568","Wisconsin",4,1.20451977483259
"569","Wisconsin",5,1.25963868402798
"570","Wisconsin",6,1.08978563904883
"571","Wisconsin",7,1.19200303043357
"572","Wisconsin",8,1.03095324684152
"573","Wisconsin",9,0.960561217079744
"574","Wisconsin",10,1.13372827061148
"575","Wisconsin",11,1.75006043641827
"576","Wisconsin",12,2.28361534017977
"577","Wyoming",1,1.71128863237032
"578","Wyoming",2,1.83713579456627
"579","Wyoming",3,1.42050980803243
"580","Wyoming",4,1.35904956527089
"581","Wyoming",5,1.25737049205842
"582","Wyoming",6,1.51383611420614
"583","Wyoming",7,1.27237210528054
"584","Wyoming",8,1.09126451454731
"585","Wyoming",9,1.26028832482292
"586","Wyoming",10,1.23403435054464
"587","Wyoming",11,1.77728600073394
"588","Wyoming",12,1.66042286259129
